name,region,population,notes
aalborg,denmark,150000,
aarhus,denmark,300000,
abeche,chad,90000,
abidjan,ivory coast,3000000,
abuja,nigeria,4000000,
accra,ghana,5000000,
adamstown,pitcairn islands,50,
adana,turkey,2000000,
adelaide,australia,1000000,
aden,yemen,1000000,
agadez,niger,110000,
aguadilla,puerto rico,60000,
ahmedabad,india,7000000,
ahvaz,iran,1200000,
aktobe,kazakhstan,600000,
akureyri,iceland,20000,
albacete,spain,170000,
aleppo,syria,2000000,
alexandria,egypt,5000000,
algiers,algeria,3000000,
alicante,spain,800000,
almaty,kazakhstan,2000000,
almeria,spain,200000,
alofi,niue,600,
alytus,lithuania,50000,
amman,jordan,4000000,
amsterdam,netherlands,1500000,
andijan,uzbekistan,750000,
ankara,turkey,6000000,
antananarivo,madagascar,2000000,
antofagasta,chile,300000,
antsirabe,madagascar,250000,
antwerp,belgium,1200000,
apia,samoa,35000,
aqaba,jordan,170000,
arawa,bougainville,40000,
arecibo,puerto rico,90000,
arequipa,peru,1000000,
arima,trinidad and tobago,70000,
arusha,tanzania,600000,
ashdod,israel,200000,
ashgabat,turkmenistan,1000000,
asmara,eritrea,1000000,
astana,kazakhstan,1400000,
asuncion,paraguay,2000000,
asyut,egypt,500000,
atafu,tokelau,500,
athens,greece,4000000,
atlanta,united states,5000000,
auckland,new zealand,1500000,
auki,solomon islands,8000,
avarua,cook islands,5000,
aveiro,portugal,140000,
ayacucho,peru,200000,
aydin,turkey,1200000,
azua,dominican republic,100000,
baalbek,lebanon,150000,
bacolod,philippines,600000,
badajoz,spain,150000,
baghdad,iraq,6000000,
baguio,philippines,400000,
baidoa,somalia,1200000,
baku,azerbaijan,1000000,
balikesir,turkey,1300000,
balykchy,kyrgyzstan,50000,
balti,moldova,130000,
bamako,mali,4000000,
bandung,indonesia,8000000,
bangkok,thailand,17000000,
banjul,gambia,400000,
barahona,dominican republic,80000,
barcelona,spain,5000000,
bari,italy,700000,
barnaul,russia,600000,
barquisimeto,venezuela,1200000,
barrouallie,saint vincent and the grenadines,6000,
basel,switzerland,180000,
basra,iraq,1300000,
basseterre,saint kitts and nevis,16000,
bata,equatorial guinea,500000,
battambang,cambodia,100000,
batumi,georgia,300000,
baucau,timoe-leste,20000,
bayda,libya,200000,
beersheba,israel,200000,
beijing,china,18000000,
beirut,lebanon,2500000,
belem,brazil,2500000,
belgrade,serbia,1700000,
belmopan,belize,20000,
bender,transnistria,100000,
benghazi,libya,1500000,
berberati,central african republic,70000,
bereket,turkmenistan,25000,
bergen,norway,300000,
berlin,germany,3000000,
bern,switzerland,600000,
bharatpur,nepal,400000,
bialystok,poland,400000,
bilbao,spain,1000000,
bimbo,central african republic,100000,
biratnagal,nepal,250000,
birgunj,nepal,300000,
birmingham,england,2000000,
bishkek,kyrgyzstan,1100000,
bissau,guinea-bissau,400000,
bitola,north macedonia,70000,
blantyre,malawi,800000,
